0,0,0,0
0.02,8.91098747145579e-05,-1.52178881561638e-05,-5.74512457471794e-05
0.04,6.74406416807773e-05,-0.000143214227514426,-5.15008385403143e-05
0.06,-0.000199236757116099,-0.000114991020861568,-0.000115328002546612
0.08,-0.000119552866159924,3.83901669331443e-05,-0.000165876180966583
0.1,-0.000155924613759792,-4.31537440825232e-05,-0.000170261912945903
0.12,-3.77089682294567e-05,7.0105216506813e-05,-0.000227268013990987
0.14,-0.00014918962110037,-1.73132160182088e-05,-0.000209512374657192
0.16,-3.55379233018571e-05,-1.60498616797335e-06,-0.000270920877567449
0.18,2.92233558914739e-06,-0.000106798534719308,-0.000359178980336794
0.2,-8.40801407398018e-07,-4.50632119417787e-05,-0.000458054893136945
0.22,2.36215092535952e-05,-0.000217007544305206,-0.000526222590057425
0.24,0.000279977696213297,-0.000286774604329182,-0.000527103792209491
0.26,0.000191564667897188,-0.000408397318608575,-0.00055498785590688
0.28,0.00026095124755517,-0.000541585864435926,-0.00057971700928555
0.3,0.000361934061411706,-0.000542810299577076,-0.000651744625749109
0.32,0.000421492691922882,-0.000709512346013257,-0.00075082039958301
0.34,0.000408706714171229,-0.000815618496668274,-0.000793568229693215
0.36,0.000379240310898398,-0.000918340287426782,-0.000868243768308964
0.38,0.000185684715594757,-0.0010308958541045,-0.000885455219833886
0.4,0.000150910167089911,-0.00106202083058675,-0.000974076602208555
0.42,5.83246522955784e-05,-0.00119987022478754,-0.00101612162363951
0.44,6.49902929853281e-06,-0.00109962974914657,-0.00101597285768591
0.46,2.77243811594112e-06,-0.00103810326622578,-0.000917268744295873
0.48,-0.000127979814722466,-0.000981224367509832,-0.000878873460693859
0.5,-0.000119628309248362,-0.000932165968813903,-0.00090169301922681
0.52,0.14132181441423,-0.112701857305265,-0.000935194514860682
0.54,0.446344110284795,-0.329823516795543,-0.000871764591516506
0.56,0.880473316827323,-0.630071698361656,-0.000910707231520318
0.58,1.4144364537764,-0.994349234529917,-0.000909414599698143
0.6,2.0231530833692,-1.40623136939199,-0.00102605281798562
0.62,2.68505250387285,-1.8516620471973,-0.0010870078100514
0.64,3.38204601500793,-2.31888206503677,-0.00118162515528151
0.66,4.09897830741534,-2.79788702564051,-0.00129060387240487
0.68,4.82268477769308,-3.28051503764682,-0.00135930658468776
0.7,5.54324718963093,-3.7600630248086,-0.00136141064163743
0.72,6.25211782966865,-4.2308337871712,-0.0013518235677873
0.74,6.94234683070571,-4.68873360093459,-0.00119358594347199
0.76,7.60854897231325,-5.13017893879948,-0.00100360560943337
0.78,8.24688990686303,-5.55265850980636,-0.000978964462397453
0.8,8.85439246001285,-5.95435714397885,-0.000871445605394735
